,0
1801,-70.0
1802,-73.0
1803,-76.0
1804,-79.0
1805,-79.0
1806,-58.0
1807,-79.0
1808,-55.0
1809,-79.0
1810,-71.0
1811,-79.0
1812,-68.0
1813,-68.0
1814,-77.0
1815,-73.0
1816,-72.0
1817,-41.0
1818,-74.0
1819,-59.0
1820,-76.0
1821,-72.0
1822,-73.0
1823,-76.0
1824,-79.0
1825,-79.0
1826,-58.0
1827,-79.0
1828,-54.0
1829,-79.0
1830,-72.0
1831,-79.0
1832,-68.0
1833,-69.0
1834,-77.0
1835,-73.0
1836,-72.0
1837,-42.0
1838,-74.0
1839,-58.0
1840,-75.0
1841,-72.0
1842,-73.0
1843,-76.0
1844,-79.0
1845,-79.0
1846,-58.0
1847,-79.0
1848,-54.0
1849,-79.0
1850,-72.0
1851,-79.0
1852,-68.0
1853,-67.0
1854,-77.0
1855,-73.0
1856,-72.0
1857,-42.0
1858,-75.0
1859,-58.0
1860,-75.0
1861,-72.0
1862,-73.0
1863,-76.0
1864,-79.0
1865,-79.0
1866,-58.0
1867,-79.0
1868,-54.0
1869,-79.0
1870,-72.0
1871,-79.0
